Zone,Zone Commander,Precinct Address,Lat ,Long
1,Major Kelley Collier,2315 Donald Lee Hollowell Pky N.W,33.777328,-84.460678
2,Major Andrew Senzer,3120 Maple Dr N.E.,33.840462,-84.372223
3,Major Carlo Peek,880 Cherokee Ave.,33.73077,-84.373573
4,Major Carven Tyus,1125 Cascade Cr. S.W.,33.78513,-84.48057
5,Major Darin Schierbaum,200 Ted Turner N.W.,33.75991,-84.38921
6,Major David Villaroel,2025 Hosea L. Williams Dr. S.E.,33.75066,-84.32122
Airport,Major Maurice Bates,6000 North Terminal Pkwy,33.64032,-84.4397
