Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,UCR #,IBR Code,Neighborhood,NPU,Latitude,Longitude
193401969,12/6/2019,12/6/2019,626,12/6/2019,734,505,,,693 MYRTLE ST NE,Day Watch,20,LARCENY-NON VEHICLE,690,2399,Midtown,E,33.77354,-84.37987
193402132,12/6/2019,12/6/2019,1330,12/6/2019,1910,504,,204,564 MCAFEE ST NW,Evening Watch,20,LARCENY-NON VEHICLE,690,2399,Downtown,M,33.76714,-84.39466
193402396,12/6/2019,12/6/2019,400,12/6/2019,2221,401,,,513 ATWOOD ST SW,Morning Watch,20,LARCENY-NON VEHICLE,690,2399,West End,T,33.74104,-84.42914
193401153,12/6/2019,11/2/2019,1500,11/3/2019,1500,501,,3292,151 14TH ST NW,Evening Watch,,LARCENY-NON VEHICLE,670,2308,Home Park,E,33.78677,-84.39228
193401306,12/6/2019,11/29/2019,1700,12/6/2019,1700,207,,410,540 17TH ST NW,Evening Watch,21,LARCENY-NON VEHICLE,670,2308,Loring Heights,E,33.79147,-84.40695
193402137,12/6/2019,12/3/2019,2000,12/3/2019,2130,604,,237,303 PARKWAY DR NE,Evening Watch,28,LARCENY-NON VEHICLE,670,2308,Old Fourth Ward,M,33.76286,-84.37405
193401644,12/6/2019,12/6/2019,1550,12/6/2019,1600,211,,,2539 PIEDMONT RD NE @TARGET - PIEDMONT,Unknown,8,LARCENY-NON VEHICLE,630,2303,Lindbergh/Morosgo,B,33.82403,-84.36328
193401720,12/6/2019,12/6/2019,1626,12/6/2019,1627,414,,,3730 CARMIA DR SW @PUBLIX - CARMIA,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Princeton Lakes,P,33.65573,-84.5109
193410354,12/7/2019,12/7/2019,245,12/7/2019,303,113,,,1820 HOLLYWOOD RD NW,Morning Watch,23,LARCENY-NON VEHICLE,630,2303,Scotts Crossing,G,33.80548,-84.47103
193410436,12/7/2019,12/7/2019,330,12/7/2019,400,502,,,1184 SPRING ST NW,Morning Watch,23,LARCENY-NON VEHICLE,630,2303,Midtown,E,33.78697,-84.38959
193410830,12/7/2019,12/7/2019,1015,12/7/2019,1045,306,,,2779 LAKEWOOD AVE SW,Day Watch,8,LARCENY-NON VEHICLE,630,2303,Sylvan Hills,X,33.69729,-84.40943
193411065,12/7/2019,12/7/2019,1300,12/7/2019,1300,211,,,2525 PIEDMONT RD NE @HOME DEPOT,Day Watch,8,LARCENY-NON VEHICLE,630,2303,Lindbergh/Morosgo,B,33.824,-84.36521
193411116,12/7/2019,12/7/2019,1010,12/7/2019,1020,208,,,3440 PEACHTREE RD NE,Day Watch,8,LARCENY-NON VEHICLE,630,2303,North Buckhead,B,33.85166,-84.36235
193411123,12/7/2019,12/7/2019,1330,12/7/2019,1335,401,,,1175 RALPH D ABERNATHY BLVD SW,Day Watch,24,LARCENY-NON VEHICLE,630,2303,West End,T,33.73893,-84.42634
193411152,12/7/2019,12/7/2019,1330,12/7/2019,1351,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Edgewood,O,33.75674,-84.34619
193411289,12/7/2019,12/7/2019,1522,12/7/2019,1522,211,,,2539 PIEDMONT RD NE @TARGET - PIEDMONT,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lindbergh/Morosgo,B,33.82386,-84.36348
193411682,12/7/2019,12/3/2019,1827,12/3/2019,1830,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
193411800,12/7/2019,12/7/2019,1900,12/7/2019,1902,111,,,3509 MARTIN L KING JR DR NW,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Adamsville,H,33.7581,-84.50258
193411995,12/7/2019,12/7/2019,2000,12/7/2019,2052,505,,,842 PEACHTREE ST NE,Evening Watch,,LARCENY-NON VEHICLE,630,2303,Midtown,E,33.77756,-84.38482
193412052,12/7/2019,12/7/2019,2049,12/7/2019,2049,609,,,1275 CAROLINE ST NE @TARGET - CAROLINE,Evening Watch,24,LARCENY-NON VEHICLE,630,2303,Edgewood,O,33.75674,-84.34619
193410562,12/7/2019,12/7/2019,730,12/7/2019,824,505,,,867 PEACHTREE ST NE,Day Watch,13,LARCENY-NON VEHICLE,670,2308,Midtown,E,33.77829,-84.38421
193411054,12/7/2019,12/7/2019,1130,12/7/2019,1200,204,,,1715 HOWELL MILL RD NW,Day Watch,12,LARCENY-NON VEHICLE,670,2308,Loring Heights,E,33.79817,-84.39883
193411553,12/7/2019,12/7/2019,345,12/7/2019,600,206,,,235 PHARR RD NE,Morning Watch,20,LARCENY-NON VEHICLE,670,2308,Garden Hills,B,33.83636,-84.38001
193411885,12/7/2019,12/7/2019,1545,12/7/2019,1718,505,,,848 PEACHTREE ST NE,Evening Watch,21,LARCENY-NON VEHICLE,670,2308,Midtown,E,33.77785,-84.38537
193410413,12/7/2019,12/7/2019,315,12/7/2019,319,205,,,914 COLLIER RD NW @JADE EAST APARTMENT,Morning Watch,18,ROBBERY-PEDESTRIAN,317,1299G,Wildwood (NPU-C),C,33.8092,-84.41512
193410993,12/7/2019,12/7/2019,430,12/7/2019,1226,304,,,795 POLLARD BLVD SW,Day Watch,14,LARCENY-NON VEHICLE,690,2399,Summerhill,V,33.73328,-84.391
193411174,12/7/2019,12/5/2019,1604,12/5/2019,1734,204,,,2412 BOHLER RD NW,Evening Watch,20,LARCENY-NON VEHICLE,690,2399,Hanover West,C,33.82116,-84.42956
193411239,12/7/2019,12/7/2019,1425,12/7/2019,1445,207,,2428,40 PEACHTREE VALLEY RD NE,Evening Watch,99,LARCENY-NON VEHICLE,690,2399,,E,33.81097,-84.39154
193411323,12/7/2019,12/7/2019,44,12/7/2019,56,612,,,1703 CLIFTON WAY SE,Evening Watch,20,LARCENY-NON VEHICLE,690,2399,East Atlanta,W,33.73703,-84.33203
193411396,12/7/2019,12/7/2019,1530,12/7/2019,1607,403,,M2,1240 OAKLAND DR SW,Evening Watch,26,LARCENY-NON VEHICLE,690,2399,Oakland City,S,33.72138,-84.42733
193411512,12/7/2019,12/7/2019,1209,12/7/2019,1240,508,,,87 CONE ST NW,Evening Watch,14,LARCENY-NON VEHICLE,690,2399,Downtown,M,33.75702,-84.39113
193411922,12/7/2019,12/7/2019,1821,12/7/2019,1900,208,,,3500 PEACHTREE RD NE @PHIPPS PLAZA,Evening Watch,21,LARCENY-NON VEHICLE,690,2399,North Buckhead,B,33.85252,-84.36116
193412263,12/7/2019,12/7/2019,2243,12/7/2019,2243,501,,,470 16TH ST NW,Morning Watch,13,LARCENY-NON VEHICLE,690,2399,Home Park,E,33.78764,-84.405
193410808,12/7/2019,12/3/2019,1530,12/5/2019,1400,609,,,203 MAYSON AVE,Day Watch,20,AUTO THEFT,730,2434,Edgewood,O,33.75923,-84.33823
193411499,12/7/2019,12/7/2019,1600,12/7/2019,1610,510,,,25 PEACHTREE ST SE ,Evening Watch,99,AUTO THEFT,730,2434,Downtown,M,33.75454,-84.3896
193402659,12/7/2019,12/6/2019,2200,12/6/2019,2350,110,,,1710 HORTENSE PL NW,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Grove Park,J,33.77575,-84.44239
193410034,12/7/2019,12/6/2019,2300,12/7/2019,1,604,,,48 JACKSON ST SE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.7528,-84.37415
193410097,12/7/2019,12/6/2019,2200,12/6/2019,2230,505,,,713 W PEACHTREE ST NE @Multiple,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77411,-84.38722
193410129,12/7/2019,12/6/2019,2300,12/7/2019,30,507,,,492 LARKIN ST SW,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Castleberry Hill,M,33.7476,-84.4037
193410268,12/7/2019,12/6/2019,2200,12/7/2019,200,206,,,3209 PACES FERRY PL NW @CALL BOX 9,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,South Tuxedo Park,B,33.8426,-84.38127
193410334,12/7/2019,12/7/2019,100,12/7/2019,245,601,,,749 PONCE DE LEON PL NE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Virginia Highland,F,33.77527,-84.36369
193410348,12/7/2019,12/6/2019,2000,12/6/2019,2300,207,,,1829 PEACHTREE RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Brookwood Hills,E,33.80521,-84.39344
193410404,12/7/2019,12/7/2019,0,12/7/2019,317,510,,,98 BELL ST NE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.75136,-84.37939
193410433,12/7/2019,12/7/2019,100,12/7/2019,356,505,,,45 8TH ST NE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77931,-84.38606
193410505,12/7/2019,12/7/2019,530,12/7/2019,630,612,,,726 GRESHAM AVE SE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,East Atlanta,W,33.73436,-84.34565
193410735,12/7/2019,12/6/2019,1900,12/7/2019,943,413,,,4491 RIO GRANDE RD SW,Day Watch,20,LARCENY-FROM VEHICLE,640,2305,Arlington Estates,P,33.69215,-84.5348
193410739,12/7/2019,12/6/2019,2100,12/7/2019,947,112,,,I-20 WB EXPY NW / I-285 NB EXPY NW,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Collier Heights,I,33.76476,-84.49282
193411148,12/7/2019,12/7/2019,1200,12/7/2019,1350,608,,5,252 CONNECTICUT AVE NE,Evening Watch,20,LARCENY-FROM VEHICLE,640,2305,Lake Claire,N,33.76119,-84.32931
193411176,12/7/2019,12/6/2019,1100,12/7/2019,1000,614,,,704 DURANT PL NE,Evening Watch,20,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77445,-84.37583
193411216,12/7/2019,12/6/2019,2130,12/7/2019,1300,205,,,914 COLLIER ROAD,Day Watch,26,LARCENY-FROM VEHICLE,640,2305,Wildwood (NPU-C),C,33.80978,-84.41695
193411643,12/7/2019,12/7/2019,1515,12/7/2019,1730,209,,,3872 ROSWELL RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,East Chastain Park,B,33.86084,-84.38104
193411665,12/7/2019,12/7/2019,1630,12/7/2019,1750,502,,,210 10TH ST NE,Evening Watch,13,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.78187,-84.38031
193411842,12/7/2019,12/7/2019,900,12/7/2019,1900,507,,,327 NELSON ST,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Castleberry Hill,M,33.75163,-84.3986
193411871,12/7/2019,12/7/2019,1400,12/7/2019,1800,102,,,5841 RHODES ST NW ,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Vine City,L,33.7568,-84.40662
193411948,12/7/2019,12/7/2019,1800,12/7/2019,1930,501,,,685 11TH ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Home Park,E,33.78332,-84.40974
193411954,12/7/2019,12/7/2019,2005,12/7/2019,2005,101,,,580 ATLANTA STUDENT MOVEMENT BLVD,Evening Watch,13,LARCENY-FROM VEHICLE,640,2305,Atlanta University Center,T,33.74887,-84.40674
193411976,12/7/2019,12/7/2019,1800,12/7/2019,2015,504,,,935 MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Marietta Street Artery,E,33.77795,-84.40849
193411979,12/7/2019,12/7/2019,1400,12/7/2019,2030,201,,,1160 MOORES MILL RD NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Brandon,C,33.83133,-84.42498
193412044,12/7/2019,12/7/2019,2015,12/7/2019,2049,614,,,600 PONCE DE LEON AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77376,-84.36722
193412128,12/7/2019,12/7/2019,1100,12/7/2019,2100,511,,,46 WALL ST SW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75312,-84.38876
193412224,12/7/2019,12/7/2019,2100,12/7/2019,2225,501,,,678 10TH ST NW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Home Park,E,33.78128,-84.4097
193412279,12/7/2019,12/7/2019,2100,12/7/2019,2257,402,,,1079 WHITE OAK AVE SW,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Oakland City,S,33.72574,-84.42298
193412291,12/7/2019,12/7/2019,2130,12/8/2019,0,507,,,343 PETERS ST SW,Morning Watch,99,LARCENY-FROM VEHICLE,640,2305,Castleberry Hill,M,33.7456,-84.40378
193412373,12/7/2019,12/7/2019,2250,12/7/2019,2305,207,,,1770 PEACHTREE ST NW,Morning Watch,21,LARCENY-FROM VEHICLE,640,2305,Brookwood,E,33.80231,-84.39322
193410511,12/7/2019,12/7/2019,130,12/7/2019,530,612,,,1373 MCPHERSON AVE SE,Day Watch,13,AUTO THEFT,710,2404,East Atlanta,W,33.7441,-84.34269
193410535,12/7/2019,12/6/2019,2230,12/7/2019,630,209,,,831 CAMDEN PARK CT NE,Evening Watch,20,AUTO THEFT,710,2404,North Buckhead,B,33.86572,-84.35895
193410590,12/7/2019,12/6/2019,555,12/6/2019,605,603,,,504 BOULEVARD NE,Day Watch,18,AUTO THEFT,710,2404,Old Fourth Ward,M,33.76801,-84.37226
193410893,12/7/2019,12/6/2019,2300,12/7/2019,130,507,,,309 PETERS ST SW,Day Watch,18,AUTO THEFT,710,2404,Castleberry Hill,M,33.74634,-84.40326
193411227,12/7/2019,12/7/2019,1442,12/7/2019,1442,411,,,3040 HEADLAND DR SW,Evening Watch,18,AUTO THEFT,710,2404,Greenbriar,R,33.68948,-84.48818
193411237,12/7/2019,12/7/2019,1440,12/7/2019,1445,111,,,3221 MARTIN L KING JR DR SW ,Evening Watch,12,AUTO THEFT,710,2404,,I,33.75284,-84.49256
193411808,12/7/2019,12/7/2019,1820,12/7/2019,1907,607,,,1362 BOULEVARD SE,Evening Watch,23,AUTO THEFT,710,2404,Benteen Park,W,33.71744,-84.36818
193411849,12/7/2019,12/7/2019,1913,12/7/2019,1924,204,,,1678 HOWELL MILL RD NW,Evening Watch,23,AUTO THEFT,710,2404,Underwood Hills,D,33.79991,-84.41625
193412027,12/7/2019,12/7/2019,2039,12/7/2019,2039,301,,,1283 HARTFORD AVE SW,Evening Watch,20,AUTO THEFT,710,2404,Capitol View,X,33.71983,-84.41708
193402258,12/7/2019,12/6/2019,2005,12/7/2019,2016,111,,,62 HARWELL RD NW,Evening Watch,26,HOMICIDE,110,903,,I,33.75384,-84.49353
193410011,12/7/2019,12/6/2019,2345,12/6/2019,2350,202,,,1313 W PACES FERRY RD NW,Morning Watch,18,AUTO THEFT,710,2404,Randall Mill,A,33.84933,-84.43048
193410132,12/7/2019,12/7/2019,30,12/7/2019,54,206,,,255 E PACES FERRY RD NE,Morning Watch,18,AUTO THEFT,710,2404,Buckhead Village,B,33.83883,-84.37912
193410153,12/7/2019,12/6/2019,1900,12/7/2019,100,305,,1615,187 MOURY AVE SW,Morning Watch,,LARCENY-FROM VEHICLE,650,2304,The Villages at Carver,Y,33.71449,-84.39138
193410862,12/7/2019,12/6/2019,2000,12/7/2019,1100,308,,,2505 FORREST PARK RD SE,Day Watch,99,LARCENY-FROM VEHICLE,650,2304,Leila Valley,Z,33.68608,-84.36054
193411180,12/7/2019,12/6/2019,2245,12/7/2019,1400,207,,2325,1390 NORTHSIDE DR NW,Evening Watch,18,LARCENY-FROM VEHICLE,650,2304,Berkeley Park,D,33.79264,-84.40796
193410500,12/7/2019,12/7/2019,525,12/7/2019,600,109,,,906 HOLLYWOOD RD NW,Morning Watch,20,BURGLARY-RESIDENCE,511,2202,Grove Park,J,33.7796,-84.45551
193410380,12/7/2019,12/7/2019,317,12/7/2019,320,403,,,1375 BYRERE TER SW,Morning Watch,20,AGG ASSAULT,410,1314,Venetian Hills,S,33.71745,-84.43168
193411589,12/7/2019,12/7/2019,1720,12/7/2019,1729,303,,,563 COOPER ST SW,Evening Watch,13,AGG ASSAULT,410,1314,Mechanicsville,V,33.73942,-84.39727
193411955,12/7/2019,12/7/2019,2005,12/7/2019,2005,503,,,954 CYPRESS ST,Evening Watch,13,AGG ASSAULT,410,1314,Midtown,E,33.78057,-84.38572
193412035,12/7/2019,12/7/2019,2046,12/7/2019,2100,310,,15D,532 CLEVELAND AVE SE,Evening Watch,99,AGG ASSAULT,410,1314,Hammond Park,X,33.68116,-84.4059
193412200,12/7/2019,12/7/2019,2200,12/7/2019,2212,105,,,1141 MOBILE ST NW,Evening Watch,26,AGG ASSAULT,410,1314,Hunter Hills,K,33.76294,-84.42478
193410617,12/7/2019,12/6/2019,1030,12/7/2019,814,205,,,571 COLLIER RD NW,Morning Watch,,BURGLARY-RESIDENCE,521,2204,Collier Hills,C,33.81069,-84.4068
193420759,12/8/2019,12/8/2019,1030,12/8/2019,1031,609,,,1526 1ST ST NE,Day Watch,20,BURGLARY-RESIDENCE,531,2202A,Edgewood,O,33.75974,-84.33788
193421920,12/8/2019,12/8/2019,2200,12/8/2019,2225,107,,,14 S EUGENIA PL NW,Morning Watch,20,BURGLARY-RESIDENCE,531,2202A,Grove Park,J,33.77496,-84.45379
193421540,12/8/2019,12/8/2019,1730,12/8/2019,1821,110,,,1080 GUN CLUB RD NW,Evening Watch,13,AGG ASSAULT,410,1314,Almond Park,G,33.78467,-84.45717
193421633,12/8/2019,12/8/2019,1913,12/8/2019,1913,410,,,2075 ALISON CT SW,Evening Watch,12,AGG ASSAULT,410,1314,Campbellton Road,R,33.70105,-84.45656
193421821,12/8/2019,12/8/2019,2119,12/8/2019,2119,409,,B58,1717 CENTRA VILLA DR SW,Evening Watch,26,AGG ASSAULT,410,1314,Adams Park,R,33.70928,-84.45571
193411992,12/8/2019,12/7/2019,2026,12/7/2019,2026,604,,,HILL ST SE / BELL ST SE,Evening Watch,13,AGG ASSAULT,410,1314,Sweet Auburn,M,33.74977,-84.37953
193421503,12/8/2019,12/8/2019,1806,12/8/2019,1900,209,,,3771 ROSWELL RD NE @JOHNNY'S HIDEAWAY,Evening Watch,3,AGG ASSAULT,430,1315,North Buckhead,B,33.8575,-84.38159
193420749,12/8/2019,12/7/2019,2230,12/8/2019,930,611,,,2886 ALEXA AVE SE,Day Watch,20,BURGLARY-RESIDENCE,511,2202,East Lake,O,33.74342,-84.29243
193420811,12/8/2019,12/7/2019,1800,12/8/2019,1200,102,,1327,777 MAGNOLIA WAY NW,Day Watch,,BURGLARY-RESIDENCE,511,2202,Vine City,L,33.75822,-84.41369
193420923,12/8/2019,12/7/2019,1500,12/8/2019,1100,105,,,1145 MARTIN L KING JR DR NW,Day Watch,20,BURGLARY-RESIDENCE,511,2202,Washington Park,K,33.75387,-84.4255
193421243,12/8/2019,12/6/2019,1200,12/8/2019,1500,301,,,845 METROPOLITAN PKWY SW,Evening Watch,20,BURGLARY-RESIDENCE,511,2202,Adair Park,V,33.73188,-84.40839
193421824,12/8/2019,12/8/2019,1100,12/8/2019,2120,408,,,1849 BAYBERRY DR SW,Evening Watch,20,BURGLARY-RESIDENCE,511,2202,Venetian Hills,S,33.71621,-84.44827
193421834,12/8/2019,12/8/2019,1230,12/8/2019,2100,211,,306,760 SIDNEY MARCUS BLVD NE,Morning Watch,,BURGLARY-RESIDENCE,511,2202,Lindbergh/Morosgo,B,33.82596,-84.36306
193420971,12/8/2019,12/7/2019,1930,12/8/2019,1230,208,APT,2312,25 TERMINUS PL NE,Evening Watch,18,LARCENY-FROM VEHICLE,650,2304,North Buckhead,B,33.84596,-84.37157
193421173,12/8/2019,12/8/2019,1000,12/8/2019,1200,406,,G-4,330 BROWNLEE RD SW,Evening Watch,26,LARCENY-FROM VEHICLE,650,2304,,I,33.74716,-84.49741
193421229,12/8/2019,12/1/2019,0,12/8/2019,1606,304,,,1107 HANK AARON DR SW,Evening Watch,18,LARCENY-FROM VEHICLE,650,2304,Peoplestown,V,33.72425,-84.38836
193421700,12/8/2019,12/8/2019,1730,12/8/2019,1930,602,,,1054 AUSTIN AVE NE,Evening Watch,20,LARCENY-NON VEHICLE,660,2317,Inman Park,N,33.76282,-84.3533
193421415,12/8/2019,12/8/2019,1600,12/8/2019,1700,204,,,1776 HOWELL MILL RD NW,Evening Watch,99,LARCENY-FROM VEHICLE,640,2305,Underwood Hills,D,33.80297,-84.41511
193421445,12/8/2019,12/8/2019,1500,12/8/2019,1720,204,,,1231 COLLIER RD NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Underwood Hills,D,33.8124,-84.42772
193421492,12/8/2019,12/8/2019,1730,12/8/2019,1800,211,,,2135 PIEDMONT RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Lindridge/Martin Manor,F,33.81517,-84.36569
193421512,12/8/2019,12/8/2019,1640,12/8/2019,1830,602,,,99 KROG ST NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Inman Park,N,33.75667,-84.3639
193421536,12/8/2019,12/8/2019,1750,12/8/2019,1820,206,,,250 PHARR RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Buckhead Village,B,33.83732,-84.3786
193421643,12/8/2019,12/8/2019,700,12/8/2019,1800,605,,,275 MEMORIAL DR SE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Grant Park,W,33.74676,-84.37856
193421680,12/8/2019,12/8/2019,1353,12/8/2019,1915,501,,,1371 MARKET ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Atlantic Station,E,33.7921,-84.39466
193421724,12/8/2019,12/8/2019,1630,12/8/2019,2015,209,,,3906 ROSWELL RD NE @CF,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,East Chastain Park,B,33.86179,-84.38127
193421840,12/8/2019,12/8/2019,2000,12/8/2019,2130,604,,,349 DECATUR ST SE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.74993,-84.37706
193421969,12/8/2019,12/8/2019,1430,12/8/2019,2315,509,,,295 COURTLAND ST NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76241,-84.38404
193421989,12/8/2019,12/8/2019,1900,12/8/2019,2320,206,,,550 PHARR RD NE,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Buckhead Village,B,33.83743,-84.37006
193421995,12/8/2019,12/6/2019,1750,12/7/2019,2300,207,,,1390 NORTHSIDE DR NW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Berkeley Park,D,33.79259,-84.40878
193421597,12/8/2019,12/8/2019,1850,12/8/2019,1850,512,,,232 FORSYTH ST SW @GREYHOUND STATION,Evening Watch,13,ROBBERY-PEDESTRIAN,341,1206,Downtown,M,33.74852,-84.39636
193421921,12/8/2019,12/8/2019,2220,12/8/2019,2226,603,,204,620 PARKWAY DR NE,Morning Watch,18,ROBBERY-PEDESTRIAN,341,1206,Old Fourth Ward,M,33.77167,-84.37289
193420698,12/8/2019,12/7/2019,2030,12/8/2019,920,614,,,845 CHARLES ALLEN DR NE,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77775,-84.37256
193420713,12/8/2019,12/7/2019,1900,12/8/2019,1,112,,,2827 ENGLE RD NW,Day Watch,20,LARCENY-FROM VEHICLE,640,2305,Collier Heights,I,33.76999,-84.48018
193420782,12/8/2019,12/6/2019,2200,12/8/2019,1000,508,,,210 PEACHTREE ST NW @WESTIN HOTEL,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75943,-84.38837
193420914,12/8/2019,12/7/2019,1400,12/8/2019,1232,601,,,697 CRESTHILL AVE NE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Virginia Highland,F,33.7834,-84.36457
193420916,12/8/2019,12/6/2019,1400,12/8/2019,1200,505,,,75 5TH ST NW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77694,-84.38963
193420937,12/8/2019,12/6/2019,1530,12/8/2019,1230,601,,,539 ELMWOOD DR NE,Day Watch,20,LARCENY-FROM VEHICLE,640,2305,Virginia Highland,F,33.78537,-84.3698
193420985,12/8/2019,12/8/2019,1245,12/8/2019,1320,603,,,HIGHLAND AVE NE / HOWELL ST NE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Old Fourth Ward,M,33.76134,-84.36994
193421061,12/8/2019,11/25/2019,1200,12/8/2019,1300,211,,,2450 CAMELLIA LN NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.82302,-84.3714
193421077,12/8/2019,12/7/2019,2125,12/8/2019,2130,206,,,2809 PEACHTREE RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Garden Hills,B,33.83157,-84.38498
193421109,12/8/2019,12/7/2019,1200,12/8/2019,1500,505,,,265 PONCE DE LEON AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.77206,-84.37869
193421151,12/8/2019,12/8/2019,1445,12/8/2019,1520,204,,,1801 HOWELL MILL RD NW,Evening Watch,,LARCENY-FROM VEHICLE,640,2305,Berkeley Park,D,33.80388,-84.41278
193421188,12/8/2019,12/7/2019,130,12/7/2019,345,501,,,1050 HOWELL MILL RD NW,Evening Watch,8,LARCENY-FROM VEHICLE,640,2305,Home Park,E,33.78299,-84.41215
193421249,12/8/2019,12/8/2019,1530,12/8/2019,1535,207,,,1537 HOWELL MILL RD NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Berkeley Park,D,33.79735,-84.41604
193421276,12/8/2019,12/8/2019,1530,12/8/2019,1600,204,,,1778 ELLSWORTH INDUSTRIAL BLVD NW,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Underwood Hills,D,33.80415,-84.42757
193421294,12/8/2019,12/6/2019,1800,12/8/2019,1500,502,,,1155 JUNIPER ST NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Midtown,E,33.78584,-84.38179
193421307,12/8/2019,12/8/2019,1500,12/8/2019,1630,205,,,857 COLLIER RD NW @HAVE A NICE DAY CAFE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Wildwood (NPU-C),C,33.81036,-84.41606
193421337,12/8/2019,12/8/2019,1510,12/8/2019,1649,604,,,144 SAMPSON ST NE,Evening Watch,,LARCENY-FROM VEHICLE,640,2305,Old Fourth Ward,M,33.75809,-84.36587
193421345,12/8/2019,12/8/2019,1325,12/8/2019,1640,211,,,700 MIAMI CIR NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.83015,-84.36414
193420327,12/8/2019,12/7/2019,2300,12/8/2019,236,508,,,30 IVAN ALLEN JR BLVD NW,Morning Watch,18,AUTO THEFT,710,2404,Downtown,M,33.76444,-84.3884
193420355,12/8/2019,12/8/2019,230,12/8/2019,255,104,,,948 LUCILE AVE SW,Morning Watch,,AUTO THEFT,710,2404,Harris Chiles,T,33.74209,-84.41849
193420567,12/8/2019,12/8/2019,400,12/8/2019,500,507,,,327 PETERS ST SW,Morning Watch,13,AUTO THEFT,710,2404,Castleberry Hill,M,33.74586,-84.40382
193420626,12/8/2019,12/7/2019,1800,12/8/2019,830,405,,4101,2524 MARTIN L KING JR DR SW,Evening Watch,26,AUTO THEFT,710,2404,Harland Terrace,I,33.75285,-84.47033
193420661,12/8/2019,12/7/2019,2300,12/8/2019,830,502,,,132 WESTMINSTER DR NE,Day Watch,20,AUTO THEFT,710,2404,Ansley Park,E,33.79244,-84.37735
193420687,12/8/2019,12/8/2019,100,12/8/2019,900,501,,1310,1000 NORTHSIDE DR NW,Morning Watch,13,AUTO THEFT,710,2404,Home Park,E,33.78194,-84.40758
